Cod Unidade;Código da Unidade de Ensino - SISTEC;Classe;Código Municipio com DV;Instituição;Jornada de Trabalho;Município;Número de registros;Região;RSC;Titulação;Unidade de Lotação;Vinculo Carreira;Vinculo Contrato;Vinculo Professor
293;2809;D;2507507;IFPB;40h;Joo Pessoa;1;;Não Possui;Especialização;Campus João Pessoa;Pcctae;Efetivo;Não
250;45961;D;3129806;IFMG;DE;Ibirit;1;;RSC III;Mestrado;Campus Ibirité;Ebtt;Efetivo;Sim
440;42347;D;2513703;IFPB;40h;Santa Rita;1;;Não Possui;Especialização;Campus Santa Rita;Pcctae;Efetivo;Não
514;2963;E;3170206;IFTM;40h;Uberlndia;1;;Não Possui;Especialização;Campus Uberlândia;Pcctae;Efetivo;Não
195;13893;C;5003306;IFMS;40h;Coxim;1;;Não Possui;Graduação;Campus Coxim;Pcctae;Efetivo;Não
129;3562;D;2503209;IFPB;40h;Cabedelo;1;;Não Possui;Educação Básica;Campus Cabedelo;Pcctae;Efetivo;Não
399;13894;D;5006606;IFMS;DE;Ponta Por;1;;RSC III;Mestrado;Campus Ponta Porã;Ebtt;Efetivo;Sim
139;32358;D;1502103;IFPA;DE;Camet;1;;RSC III;Mestrado;Campus Cametá;Ebtt;Efetivo;Sim
362;32357;C;1505502;IFPA;40h;Paragominas;1;;Não Possui;Especialização;Campus Paragominas;Pcctae;Efetivo;Não
615;;D;2611606;IFPE;40h;Recife;1;;Não Possui;Especialização;Reitoria do Instituto Federal de Pernambuco;Pcctae;Efetivo;Não
511;2918;D;1508100;IFPA;DE;Tucuru;1;;RSC III;Mestrado;Campus Tucuruí;Ebtt;Efetivo;Sim
444;13395;D;1506807;IFPA;DE;Santarm;1;;Não Possui;Doutorado;Campus Santarém;Ebtt;Efetivo;Sim
386;3567;C;2511400;IFPB;40h;Picu;1;;Não Possui;Especialização;Campus Picuí;Pcctae;Efetivo;Não
413;3566;E;2512309;IFPB;40h;Princesa Isabel;1;;Não Possui;Graduação;Campus Princesa Isabel;Pcctae;Efetivo;Não
159;14103;D;2604106;IFPE;DE;Caruaru;1;;RSC III;Mestrado;Campus Caruaru;Ebtt;Efetivo;Sim
235;13192;D;3127701;IFMG;DE;Governador Valadares;1;;RSC III;Mestrado;Campus Governador Valadares;Ebtt;Efetivo;Sim
107;2857;D;2601409;IFPE;30h;Barreiros;1;;Não Possui;Especialização;Campus Barreiros;Pcctae;Efetivo;Não
186;3522;D;1502707;IFPA;DE;Conceio do Araguaia;1;;Não Possui;Doutorado;Campus Conceição do Araguaia;Ebtt;Efetivo;Sim
614;;E;2507507;IFPB;40h;Joo Pessoa;1;;Não Possui;Especialização;Reitoria do Instituto Federal da Paraíba;Pcctae;Efetivo;Não
609;;E;3152501;IFSULDEMINAS;40h;Pouso Alegre;1;;Não Possui;Mestrado;Reitoria do Instituto Federal do Sul de Minas Gerais;Pcctae;Efetivo;Não
113;2914;D;1501402;IFPA;DE;Belm;1;;RSC III;Mestrado;Campus Belém;Ebtt;Efetivo;Sim
68;20432;D;3145901;IFMG;DE;Ouro Branco;1;;RSC III;Mestrado;Campus Ouro Branco;Ebtt;Efetivo;Sim
68;20432;D;3145901;IFMG;DE;Ouro Branco;1;;Não Possui;Doutorado;Campus Ouro Branco;Ebtt;Efetivo;Sim
224;3228;D;3126109;IFMG;DE;Formiga;1;;Não Possui;Mestrado;Campus Formiga;Ebtt;Efetivo;Sim
444;13395;D;1506807;IFPA;DE;Santarm;1;;RSC III;Mestrado;Campus Santarém;Ebtt;Efetivo;Sim
100;2996;D;3105103;IFMG;40h;Bambu;1;;Não Possui;Graduação;Campus Bambuí;Pcctae;Efetivo;Não
278;3367;D;3134202;IFTM;DE;Ituiutaba;1;;RSC III;Mestrado;Campus Ituiutaba;Ebtt;Efetivo;Sim
606;;D;3106200;IFMG;40h;Belo Horizonte;1;;Não Possui;Especialização;Reitoria do Instituto Federal de Minas Gerais;Pcctae;Efetivo;Não
438;42125;E;3157807;IFMG;40h;Santa Luzia;1;;Não Possui;Doutorado;Campus Santa Luzia;Pcctae;Efetivo;Não
78;20431;D;3154606;IFMG;DE;Ribeiro das Neves;1;;Não Possui;Doutorado;Campus Ribeirão das Neves;Ebtt;Efetivo;Sim
78;20431;D;3154606;IFMG;40h;Ribeiro das Neves;1;;Não Possui;Educação Básica;Campus Ribeirão das Neves;Pcctae;Efetivo;Não
